,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
68,,"Revo Sarwono","2021-11-18 05:47:19",0,no,no,"Gila ya sang legend satu ini, sopan banget gaya ngomongnya.. jarang pake kata ""gue""",UCY-BrglV7frYYDTZkLQEYRA,UgyyRTv1OdP_rvIUrHB4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyyRTv1OdP_rvIUrHB4AaABAg
69,,"said selow","2021-11-18 07:39:44",0,no,no,"Pendekar cara bicaranya memang halus kalem dan tenang,, i like this idola 😍",UCFVMor_yktkCbr8NcRZjjgQ,Ugx6nkRNr0PJ82pYxoF4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx6nkRNr0PJ82pYxoF4AaABAg
70,,Hello_wieN,"2021-11-18 10:17:14",0,no,no,"@Deddy_Corbuzier coba bang Kulik fakdim yg ad di YouTube
Kalo mau buktiin kayak debus/supranatural ada g",UCZ83Jopm94QjbOsIVBU0uZQ,UgzlslqLxx4WJrIwc4N4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzlslqLxx4WJrIwc4N4AaABAg
71,,"Surodiro Ngampilanos","2021-11-18 14:54:36",0,no,no,Maddog,UC7VgSDHYg422gPfnxUIFNpA,Ugw_6J7GTfSUtItIGD54AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugw_6J7GTfSUtItIGD54AaABAg
72,,"Danie Brassco","2021-11-18 15:11:32",0,no,no,"Host nya mma minded",UCZ_PHFrL0EwE8ORNdYFImeg,UgxoVH2-Ar8Yisw2drF4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxoVH2-Ar8Yisw2drF4AaABAg
73,,"sekedar ride","2021-11-19 16:45:18",0,no,no,"Ini baru gregeeeet",UCRwMzPHGSK7FvBa-r_7i-1w,Ugxef8rSriHKnlHqWIp4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugxef8rSriHKnlHqWIp4AaABAg
74,,"Deka Agro Products","2021-11-19 16:57:34",0,no,no,"bahas pertanian dong, rusak dah negara, kacau, petani tolong di perhatikan om, tolong !!!",UCB6fFAKeS2p2pYaZjq9IlNQ,UgwK7hwoJB-C1zA-Ge14AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwK7hwoJB-C1zA-Ge14AaABAg
75,,"Enjih Enjih","2021-11-19 18:46:27",0,no,no,"Candranaya yg tendangan naga 🐲🐉 gmna bang itu bohong nya diperbolehkan apa tidak",UCn9fKwJ_CXeGu-JKH8TjlNQ,UgwT5C_jnRJRx40E6x14AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwT5C_jnRJRx40E6x14AaABAg
76,,"erlanggaga ga","2021-11-19 20:45:22",0,no,no,Maddog,UCYTBSrmmrzbQj62sYProvag,UgzSAjGbpmlcoG0JAPV4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzSAjGbpmlcoG0JAPV4AaABAg
77,,"Riki Muzaki","2021-11-19 22:17:40",0,no,no,"Undang iko uwais",UCXVbf34cUN_Q4hukAoktGiw,Ugw2bblotghHa4dp5JZ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugw2bblotghHa4dp5JZ4AaABAg
